Subject,ckOrder,ckCode,ckAlignCode,StrandCode,Strand/Domain,Category/Cluster,CCSS Standard,,,GRADE,STRAND,#,letter,merged for check against ckCode,PARSED CODES are grouped here - these have been checked against column C and all miskeys should be corrected as of 4/9/12
ELA,18,K.RI.8,KRI.8,RIK.8,Reading Informational,Integration of Knowledge and Ideas,"With prompting and support, identify the reasons an author gives to support points in a text.",,,K,RI,8,,K.RI.8,
ELA,19,K.RI.9,KRI.9,RIK.9,Reading Informational,Integration of Knowledge and Ideas,"With prompting and support, identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",,,K,RI,9,,K.RI.9,
ELA,20,KRI.10,KRI.10,RIK.10,Reading Informational,Range of Reading and Level of Text Complexity,Actively engage in group reading activities with purpose and understanding.,,,K,RI,10,,K.RI.10,
ELA,21,K.RF.1,KRF.1,RFK.1,Reading Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.,,,K,RF,1,,K.RF.1,
ELA,22,K.RF.1.a,KRF.1.a,RFK.1.a,Reading Foundational Skills,Print Concepts,"Follow words from left to right, top to bottom, and page by page.",,,K,RF,1,a,K.RF.1.a,
ELA,23,K.RF.1.b,KRF.1.b,RFK.1.b,Reading Foundational Skills,Print Concepts,Recognize that spoken words are represented in written language by specific sequences of letters.,,,K,RF,1,b,K.RF.1.b,
ELA,24,K.RF.1.c,KRF.1.c,RFK.1.c,Reading Foundational Skills,Print Concepts,Understand that words are separated by spaces in print.,,,K,RF,1,c,K.RF.1.c,
ELA,25,K.RF.1.d,KRF.1.d,RFK.1.d,Reading Foundational Skills,Print Concepts,Recognize and name all upper- and lowercase letters of the alphabet.,,,K,RF,1,d,K.RF.1.d,
ELA,26,K.RF.2,KRF.2,RFK.2,Reading Foundational Skills,Phonological awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,,K,RF,2,,K.RF.2,
ELA,27,K.RF.2.a,KRF.2.a,RFK.2.a,Reading Foundational Skills,Phonological awareness,Recognize and produce rhyming words.,,,K,RF,2,a,K.RF.2.a,
ELA,28,K.RF.2.b,KRF.2.b,RFK.2.b,Reading Foundational Skills,Phonological awareness,"Count, pronounce, blend, and segment syllables in spoken words.",,,K,RF,2,b,K.RF.2.b,
ELA,29,K.RF.2.c,KRF.2.c,RFK.2.c,Reading Foundational Skills,Phonological awareness,Blend and segment onsets and rimes of single-syllable spoken words.,,,K,RF,2,c,K.RF.2.c,
ELA,30,K.RF.2.d,KRF.2.d,RFK.2.d,Reading Foundational Skills,Phonological awareness,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonent-vowel-consonent, or CVC) words.* (This does not include CVCs ending with /l/, /r/, or /x/.)",,,K,RF,2,d,K.RF.2.d,
ELA,31,K.RF.2.e,KRF.2.e,RFK.2.e,Reading Foundational Skills,Phonological awareness,"Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.",,,K,RF,2,e,K.RF.2.e,
ELA,32,K.RF.3,KRF.3,RFK.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,K,RF,3,,K.RF.3,
ELA,33,K.RF.3.a,KRF.3.a,RFK.3.a,Reading Foundational Skills,Phonics and Word recognition,Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary or many of the most frequent sound for each consonant.,,,K,RF,3,a,K.RF.3.a,
ELA,34,K.RF.3.b,KRF.3.b,RFK.3.b,Reading Foundational Skills,Phonics and Word recognition,Associate the long and short sounds with common spellings (graphemes) for the five major vowels.,,,K,RF,3,b,K.RF.3.b,
ELA,35,K.RF.3.c,KRF.3.c,RFK.3.c,Reading Foundational Skills,Phonics and Word recognition,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",,,K,RF,3,c,K.RF.3.c,
ELA,36,K.RF.3.d,KRF.3.d,RFK.3.d,Reading Foundational Skills,Phonics and Word recognition,Distinguish between similarly spelled words by identifying the sounds of the letters that differ.,,,K,RF,3,d,K.RF.3.d,
ELA,37,K.RF.4,KRF.4,RFK.4,Reading Foundational Skills,Fluency,Read emergent-reader texts with purpose and understanding.,,,K,RF,4,,K.RF.4,
ELA,38,K.W.1,KW.1,WK.1,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose opinion pieces in which they tell a reader the topic or the name of the book they are writing about and state an opinion or preference about the topic or book (e.g., My favorite book is...).",,,K,W,1,,K.W.1,
ELA,39,K.W.2,KW.2,WK.2,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to compose informative/explanatory texts in which they name what they are writing about and supply some information about the topic.",,,K,W,2,,K.W.2,
ELA,40,K.W.3,KW.3,WK.3,Writing,Text Types and Purposes,"Use a combination of drawing, dictating, and writing to narrate a single event or several loosely linked events, tell about the events in the order in which they occurred, and provide a reaction to what happened.",,,K,W,3,,K.W.3,
ELA,41,K.W.4,KW.4,WK.4,Writing,Production and Distribution of Writing,(Begins in grade 3),,,K,W,4,,K.W.4,
ELA,42,K.W.5,KW.5,WK.5,Writing,Production and Distribution of Writing,"With guidance and support from adults, respond to questions and suggestions from peers and add details to strengthen writing as needed.",,,K,W,5,,K.W.5,
ELA,43,K.W.6,KW.6,WK.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, explore a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,K,W,6,,K.W.6,
ELA,44,K.W.7,KW.7,WK.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of books by a favorite author and express opinions about them).",,,K,W,7,,K.W.7,
ELA,45,K.W.8,KW.8,WK.8,Writing,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,,K,W,8,,K.W.8,
ELA,46,K.W.9,KW.9,WK.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4),,,K,W,9,,K.W.9,
ELA,47,K.W.10,KW.10,WK.10,Writing,Range of Writing,(Begins in grade 3),,,K,W,10,,K.W.10,
ELA,48,K.SL.1,KSL.1,SLK.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.,,,K,SL,1,,K.SL.1,
ELA,49,K.SL.1.a,KSL.1.a,SLK.1.a,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussion (e.g., listening to others and taking turns speaking about the topics and texts under discussion).",,,K,SL,1,a,K.SL.1.a,
ELA,50,K.SL.1.b,KSL.1.b,SLK.1.b,Speaking & Listening,Comprehension and Collaboration,Continue a conversation through multiple exchanges.,,,K,SL,1,b,K.SL.1.b,
ELA,51,K.SL.2,KSL.2,SLK.2,Speaking & Listening,Continue a conversation through multiple exchanges.,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.,,,K,SL,2,,K.SL.2,
ELA,52,K.SL.3,KSL.3,SLK.3,Speaking & Listening,Continue a conversation through multiple exchanges.,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood.",,,K,SL,3,,K.SL.3,
ELA,53,K.SL.4,KSL.4,SLK.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail.",,,K,SL,4,,K.SL.4,
ELA,54,K.SL.5,KSL.5,SLK.5,Speaking & Listening,Presentation of Knowledge and Ideas,Add drawings or other visual displays to descriptions as desired to provide additional detail.,,,K,SL,5,,K.SL.5,
ELA,55,K.SL.6,KSL.6,SLK.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Speak audibly and express thoughts, feelings, and ideas clearly.",,,K,SL,6,,K.SL.6,
ELA,56,K.L.1,KL.1,LK.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,K,L,1,,K.L.1,
ELA,57,K.L.1.a,KL.1.a,LK.1.a,Language,Conventions of Standard English,Print many upper- and lowercase letters.,,,K,L,1,a,K.L.1.a,
ELA,58,K.L.1.b,KL.1.b,LK.1.b,Language,Conventions of Standard English,Use frequently occurring nouns and verbs.,,,K,L,1,b,K.L.1.b,
ELA,59,K.L.1.c,KL.1.c,LK.1.c,Language,Conventions of Standard English,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes).",,,K,L,1,c,K.L.1.c,
ELA,60,K.L.1.d,KL.1.d,LK.1.d,Language,Conventions of Standard English,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how).",,,K,L,1,d,K.L.1.d,
ELA,61,K.L.1.e,KL.1.e,LK.1.e,Language,Conventions of Standard English,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with).",,,K,L,1,e,K.L.1.e,
ELA,62,K.L.1.f,KL.1.f,LK.1.f,Language,Conventions of Standard English,Produce and expand complete sentences in shared language activities.,,,K,L,1,f,K.L.1.f,
ELA,63,K.L.2,KL.2,LK.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,K,L,2,,K.L.2,
ELA,64,K.L.2.a,KL.2.a,LK.2.a,Language,Conventions of Standard English,Capitalize the first word in a sentence and the pronoun I.,,,K,L,2,a,K.L.2.a,
ELA,65,K.L.2.b,KL.2.b,LK.2.b,Language,Conventions of Standard English,Recognize and name end punctuation.,,,K,L,2,b,K.L.2.b,
ELA,66,K.L.2.c,KL.2.c,LK.2.c,Language,Conventions of Standard English,Write a letter or letters for most consonant and short-vowel sounds (phonemes).,,,K,L,2,c,K.L.2.c,
ELA,67,K.L.2.d,KL.2.d,LK.2.d,Language,Conventions of Standard English,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships.",,,K,L,2,d,K.L.2.d,
ELA,68,K.L.3,KL.3,LK.3,Language,Knowledge of Language,(Begins in grade 2),,,K,L,3,,K.L.3,
ELA,69,K.L.4,KL.4,LK.4,Language,Vocabulary Acquisition and Use,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.,,,K,L,4,,K.L.4,
ELA,70,K.L.4.a,KL.4.a,LK.4.a,Language,Vocabulary Acquisition and Use,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck).",,,K,L,4,a,K.L.4.a,
ELA,71,K.L.4.b,KL.4.b,LK.4.b,Language,Vocabulary Acquisition and Use,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word.",,,K,L,4,b,K.L.4.b,
ELA,72,K.L.5,KL.5,LK.5,Language,Vocabulary Acquisition and Use,"With guidance and support from adults, explore word relationships and nuances in word meanings.",,,K,L,5,,K.L.5,
ELA,73,K.L.5.a,KL.5.a,LK.5.a,Language,Vocabulary Acquisition and Use,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent.",,,K,L,5,a,K.L.5.a,
ELA,74,K.L.5.b,KL.5.b,LK.5.b,Language,Vocabulary Acquisition and Use,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).,,,K,L,5,b,K.L.5.b,
ELA,75,K.L.5.c,KL.5.c,LK.5.c,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., note places at school that are colorful).",,,K,L,5,c,K.L.5.c,
ELA,76,K.L.5.d,KL.5.d,LK.5.d,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings.",,,K,L,5,d,K.L.5.d,
ELA,77,K.L.6,KL.6,LK.6,Language,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts.",,,K,L,6,,K.L.6,
ELA,78,1.RL.1,1RL.1,RL1.1,Reading Literature,Key Ideas and Details,Ask and answer questions about key details in a text.,,,1,RL,1,,1.RL.1,
ELA,79,1.RL.2,1RL.2,RL1.2,Reading Literature,Key Ideas and Details,"Retell stories, including key details, and demonstrate understanding of their central message or lesson.",,,1,RL,2,,1.RL.2,
ELA,80,1.RL.3,1RL.3,RL1.3,Reading Literature,Key Ideas and Details,"Describe characters, settings, and major events in a story, using key details.",,,1,RL,3,,1.RL.3,
ELA,81,1.RL.4,1RL.4,RL1.4,Reading Literature,Craft and Structure,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,,,1,RL,4,,1.RL.4,
ELA,82,1.RL.5,1RL.5,RL1.5,Reading Literature,Craft and Structure,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types.",,,1,RL,5,,1.RL.5,
ELA,83,1.RL.6,1RL.6,RL1.6,Reading Literature,Craft and Structure,Identify who is telling the story at various points in a text.,,,1,RL,6,,1.RL.6,
ELA,84,1.RL.7,1RL.7,RL1.7,Reading Literature,Integration of Knowledge and Ideas,"Use illustrations and details in a story to describe its characters, setting, or events.",,,1,RL,7,,1.RL.7,
ELA,85,1.RL.8,1RL.8,RL1.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature),,,1,RL,8,,1.RL.8,
ELA,86,1.RL.9,1RL.9,RL1.9,Reading Literature,Integration of Knowledge and Ideas,Compare and contrast the adventures and experiences of characters in stories.,,,1,RL,9,,1.RL.9,
ELA,87,1.RL.10,1RL.10,RL1.10,Reading Literature,Range of Reading and Level of Text Complexity,"With prompting and support, read prose and poetry of appropriate complexity for grade 1.",,,1,RL,10,,1.RL.10,
ELA,88,1.RI.1,1RI.1,RI1.1,Reading Informational,Key Ideas and Details,Ask and answer questions about key details in a text.,,,1,RI,1,,1.RI.1,
ELA,89,1.RI.2,1RI.2,RI1.2,Reading Informational,Key Ideas and Details,Identify the main topic and retell key details of a text.,,,1,RI,2,,1.RI.2,
ELA,90,1.RI.3,1RI.3,RI1.3,Reading Informational,Key Ideas and Details,"Describe the connection between two individuals, events, ideas, or pieces of information in a text.",,,1,RI,3,,1.RI.3,
ELA,91,1.RI.4,1RI.4,RI1.4,Reading Informational,Craft and Structure,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.,,,1,RI,4,,1.RI.4,
ELA,92,1.RI.5,1RI.5,RI1.5,Reading Informational,Craft and Structure,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text.",,,1,RI,5,,1.RI.5,
ELA,93,1.RI.6,1RI.6,RI1.6,Reading Informational,Craft and Structure,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.,,,1,RI,6,,1.RI.6,
ELA,94,1.RI.7,1RI.7,RI1.7,Reading Informational,Integration of Knowledge and Ideas,Use the illustrations and details in a text to describe its key ideas.,,,1,RI,7,,1.RI.7,
ELA,95,1.RI.8,1RI.8,RI1.8,Reading Informational,Integration of Knowledge and Ideas,Identify the reasons an author gives to support points in a text.,,,1,RI,8,,1.RI.8,
ELA,96,1.RI.9,1RI.9,RI1.9,Reading Informational,Integration of Knowledge and Ideas,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures).",,,1,RI,9,,1.RI.9,
ELA,97,1.RI.10,1RI.10,RI1.10,Reading Informational,Range of Reading and Level of Text Complexity,"With prompting and support, read informational texts appropriately complex for grade 1.",,,1,RI,10,,1.RI.10,
ELA,98,1.RF.1,1RF.1,RF1.1,Reading Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.,,,1,RF,1,,1.RF.1,
ELA,99,1.RF.1.a,1RF.1.a,RF1.1.a,Reading Foundational Skills,Print Concepts,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation).",,,1,RF,1,a,1.RF.1.a,
ELA,100,1.RF.2,1RF.2,RF1.2,Reading Foundational Skills,Phonological awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).",,,1,RF,2,,1.RF.2,
ELA,101,1.RF.2.a,1RF.2.a,RF1.2.a,Reading Foundational Skills,Phonological awareness,Distinguish long from short vowel sounds in spoken single-syllable words.,,,1,RF,2,a,1.RF.2.a,
ELA,102,1.RF.2.b,1RF.2.b,RF1.2.b,Reading Foundational Skills,Phonological awareness,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.",,,1,RF,2,b,1.RF.2.b,
ELA,103,1.RF.2.c,1RF.2.c,RF1.2.c,Reading Foundational Skills,Phonological awareness,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.",,,1,RF,2,c,1.RF.2.c,
ELA,104,1.RF.2.d,1RF.2.d,RF1.2.d,Reading Foundational Skills,Phonological awareness,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).,,,1,RF,2,d,1.RF.2.d,
ELA,105,1.RF.3,1RF.3,RF1.3,Reading Foundational Skills,Phonics and Word recognition,Know and apply grade-level phonics and word analysis skills in decoding words.,,,1,RF,3,,1.RF.3,
ELA,106,1.RF.3.a,1RF.3.a,RF1.3.a,Reading Foundational Skills,Phonics and Word recognition,Know the spelling-sound correspondences for common consonant digraphs.,,,1,RF,3,a,1.RF.3.a,
ELA,107,1.RF.3.b,1RF.3.b,RF1.3.b,Reading Foundational Skills,Phonics and Word recognition,Decode regularly spelled one-syllable words.,,,1,RF,3,b,1.RF.3.b,
ELA,108,1.RF.3.c,1RF.3.c,RF1.3.c,Reading Foundational Skills,Phonics and Word recognition,Know final -e and common vowel team conventions for representing long vowel sounds.,,,1,RF,3,c,1.RF.3.c,
ELA,109,1.RF.3.d,1RF.3.d,RF1.3.d,Reading Foundational Skills,Phonics and Word recognition,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.,,,1,RF,3,d,1.RF.3.d,
ELA,110,1.RF.3.e,1RF.3.e,RF1.3.e,Reading Foundational Skills,Phonics and Word recognition,Decode two-syllable words following basic patterns by breaking the words into syllables.,,,1,RF,3,e,1.RF.3.e,
ELA,111,1.RF.3.f,1RF.3.f,RF1.3.f,Reading Foundational Skills,Phonics and Word recognition,Read words with inflectional endings.,,,1,RF,3,f,1.RF.3.f,
ELA,112,1.RF.3.g,1RF.3.g,RF1.3.g,Reading Foundational Skills,Phonics and Word recognition,Recognize and read grade-appropriate irregularly spelled words.,,,1,RF,3,g,1.RF.3.g,
ELA,113,1.RF.4,1RF.4,RF1.4,Reading Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.,,,1,RF,4,,1.RF.4,
ELA,114,1.RF.4.a,1RF.4.a,RF1.4.a,Reading Foundational Skills,Fluency,Read on-level text with purpose and understanding.,,,1,RF,4,a,1.RF.4.a,
ELA,115,1.RF.4.b,1RF.4.b,RF1.4.b,Reading Foundational Skills,Fluency,"Read on-level text orally with accuracy, appropriate rate, and expression on successive readings.",,,1,RF,4,b,1.RF.4.b,
ELA,116,1.RF.4.c,1RF.4.c,RF1.4.c,Reading Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary.",,,1,RF,4,c,1.RF.4.c,
ELA,117,1.W.1,1W.1,W1.1,Writing,Text Types and Purposes,"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure.",,,1,W,1,,1.W.1,
ELA,118,1.W.2,1W.2,W1.2,Writing,Text Types and Purposes,"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure.",,,1,W,2,,1.W.2,
ELA,119,1.W.3,1W.3,W1.3,Writing,Text Types and Purposes,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure.",,,1,W,3,,1.W.3,
ELA,120,1.W.4,1W.4,W1.4,Writing,Production and Distribution of Writing,(Begins in grade 3),,,1,W,4,,1.W.4,
ELA,121,1.W.5,1W.5,W1.5,Writing,Production and Distribution of Writing,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed.",,,1,W,5,,1.W.5,
ELA,122,1.W.6,1W.6,W1.6,Writing,Production and Distribution of Writing,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers.",,,1,W,6,,1.W.6,
ELA,123,1.W.7,1W.7,W1.7,Writing,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions).",,,1,W,7,,1.W.7,
ELA,124,1.W.8,1W.8,W1.8,Writing,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question.",,,1,W,8,,1.W.8,
ELA,125,1.W.9,1W.9,W1.9,Writing,Research to Build and Present Knowledge,(Begins in grade 4),,,1,W,9,,1.W.9,
ELA,126,1.W.10,1W.10,W1.10,Writing,Range of Writing,(Begins in grade 3),,,1,W,10,,1.W.10,
ELA,127,1.SL.1,1SL.1,SL1.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.,,,1,SL,1,,1.SL.1,
ELA,128,1.SL.1.a,1SL.1.a,SL1.1.a,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion).",,,1,SL,1,a,1.SL.1.a,
ELA,129,1.SL.1.b,1SL.1.b,SL1.1.b,Speaking & Listening,Comprehension and Collaboration,Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.,,,1,SL,1,b,1.SL.1.b,
ELA,130,1.SL.1.c,1SL.1.c,SL1.1.c,Speaking & Listening,Comprehension and Collaboration,Ask questions to clear up any confusion about the topics and texts under discussion.,,,1,SL,1,c,1.SL.1.c,
ELA,131,1.SL.2,1SL.2,SL1.2,Speaking & Listening,Comprehension and Collaboration,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.,,,1,SL,2,,1.SL.2,
ELA,132,1.SL.3,1SL.3,SL1.3,Speaking & Listening,Comprehension and Collaboration,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.,,,1,SL,3,,1.SL.3,
ELA,133,1.SL.4,1SL.4,SL1.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly.",,,1,SL,4,,1.SL.4,
ELA,134,1.SL.5,1SL.5,SL1.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings.",,,1,SL,5,,1.SL.5,
ELA,135,1.SL.6,1SL.6,SL1.6,Speaking & Listening,Presentation of Knowledge and Ideas,Produce complete sentences when appropriate to task and situation.,,,1,SL,6,,1.SL.6,
ELA,136,1.L.1,1L.1,L1.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,,,1,L,1,,1.L.1,
ELA,137,1.L.1.a,1L.1.a,L1.1.a,Language,Conventions of Standard English,Print all upper- and lowercase letters.,,,1,L,1,a,1.L.1.a,
ELA,138,1.L.1.b,1L.1.b,L1.1.b,Language,Conventions of Standard English,"Use common, proper, and possessive nouns.",,,1,L,1,b,1.L.1.b,
ELA,139,1.L.1.c,1L.1.c,L1.1.c,Language,Conventions of Standard English,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop).",,,1,L,1,c,1.L.1.c,
ELA,140,1.L.1.d,1L.1.d,L1.1.d,Language,Conventions of Standard English,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything).",,,1,L,1,d,1.L.1.d,
ELA,141,1.L.1.e,1L.1.e,L1.1.e,Language,Conventions of Standard English,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home).",,,1,L,1,e,1.L.1.e,
ELA,142,1.L.1.f,1L.1.f,L1.1.f,Language,Conventions of Standard English,Use frequently occurring adjectives.,,,1,L,1,f,1.L.1.f,
ELA,143,1.L.1.g,1L.1.g,L1.1.g,Language,Conventions of Standard English,"Use frequently occurring conjunctions (e.g., and, but, or, so, because).",,,1,L,1,g,1.L.1.g,
ELA,144,1.L.1.h,1L.1.h,L1.1.h,Language,Conventions of Standard English,"Use determiners (e.g., articles, demonstratives).",,,1,L,1,h,1.L.1.h,
ELA,145,1.L.1.i,1L.1.i,L1.1.i,Language,Conventions of Standard English,"Use frequently occurring prepositions (e.g., during, beyond, toward).",,,1,L,1,i,1.L.1.i,
ELA,146,1.L.1.j,1L.1.j,L1.1.j,Language,Conventions of Standard English,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts.",,,1,L,1,j,1.L.1.j,
ELA,147,1.L.2,1L.2,L1.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",,,1,L,2,,1.L.2,
